variant,verify
P-256,135.28780436027014
P-256,134.47953874168468
P-256,133.54517586561897
P-256,132.4193037509278
P-256,131.06002781578587
P-256,130.54310174962419
P-256,133.61732527365547
P-256,123.60318477305741
P-256,133.57121251696046
P-256,132.68154636930893
P-256,133.4146984853662
P-256,135.89347150511432
P-256,133.24467186365428
P-256,131.61667209501934
P-256,134.46502320350973
P-256,132.46727693391338
P-256,129.79585361684207
P-256,135.51259495237596
P-256,133.67809379147207
P-256,133.70950596714303
P-256,130.786211952218
P-256,134.94206681094718
P-256,135.70454009493204
P-256,132.1314309795783
P-256,135.43887622782307
P-256,136.8908905258726
P-256,132.82505152571852
P-256,130.96594349625468
P-256,132.37194798791114
P-256,133.51276306073225
P-256,132.5805513862914
P-256,130.21631081925113
P-256,132.5274638547877
P-256,129.9414391577745
P-256,133.7319100616088
P-256,131.23997397010407
P-256,133.11026982820826
P-256,132.41596869986887
P-256,131.34783473599023
P-256,135.01803745738047
P-256,134.11673908804306
P-256,133.38907233315618
P-256,132.21967129493225
P-256,135.1269962083809
P-256,131.45844860628586
P-256,129.4905193782865
P-256,132.12863670823555
P-256,133.42806892238713
P-256,134.28155463483876
P-256,134.99997474496527
P-256,129.7747768596031
P-256,132.8956135721268
P-256,136.02431962609583
P-256,133.05941884406946
P-256,131.70172256936578
P-256,135.49316166259527
P-256,135.51534034491348
P-256,130.63007248586797
P-256,133.37882022713546
P-256,130.60966233475375
P-256,136.4611232593868
P-256,132.92736017254921
P-256,133.77612063103626
P-256,132.93450616851956
P-256,130.05347790729016
P-256,135.7335774708951
P-256,131.42237310143685
P-256,132.83311822908388
P-256,133.34343523757147
P-256,135.54902931597704
P-256,132.4961108363749
P-256,132.7277646354024
P-256,134.6659070146043
P-256,127.50822194828723
P-256,132.39464065382387
P-256,132.93589510214727
P-256,136.12128303798832
P-256,131.02652083269643
P-256,133.42276176461064
P-256,132.67516076220414
P-256,136.1721095814785
P-256,133.2470119926487
P-256,135.6813758460662
P-256,133.2683629736486
P-256,133.4482885137308
P-256,133.98550620855957
P-256,130.81651853034217
P-256,131.7241241835027
P-256,130.6632998772134
P-256,132.47502392370455
P-256,130.92495481454995
P-256,131.43091837593994
P-256,134.88538795125973
P-256,133.14683634583923
P-256,129.93441047316006
P-256,132.1914748937439
P-256,130.51817280976098
P-256,132.84397975439617
P-256,133.40517720047166
P-256,132.721563015254
P-256,134.61413426876524
P-256,134.29194585679045
P-256,132.4538885953762
P-256,136.07408921086756
P-256,134.6142735396355
P-256,130.28650920650702
P-256,135.0543154576605
P-256,132.71094962193737
P-256,133.43391270183395
P-256,133.2702448248115
P-256,136.5977695397977
P-256,133.39755698111404
P-256,132.403551402042
P-256,132.2620045435458
P-256,134.4388247683999
P-256,134.13671280531048
P-256,128.90484386551955
P-256,133.3482879368808
P-256,133.35171145717453
P-256,135.77672977885632
P-256,132.17988324081466
P-256,134.4514796279073
P-256,133.81755877184477
P-256,131.38618701258505
P-256,133.15725529503263
P-256,134.13414755853378
P-256,134.55088637182453
P-256,132.90434104623273
P-256,131.84798037348065
P-256,121.94647823703336
